id,artist,field_name,field_text,date,institution
IT01,1,ArtistBio,"American, born 1975",2026,0
IT02,1,Nationality,American,2026,0
IT03,1,Gender,female,2026,0
IT04,2,ArtistBio,"American, born 1975",2026,0
IT05,2,Nationality,American,2026,0
IT06,2,Gender,female,2026,0
IT07,2,wikidata_id,"Laurel Nakadate (born 1975) is an American feminist video artist, filmmaker, and photographer. She is based in New York City.",2026,1
IT08,3,wikidata_id,"Mequitta Ahuja (born 1976) is a contemporary American feminist painter of African American and South Asian descent who lives in Baltimore, Maryland. Ahuja creates works of self-portraiture that combine themes of myth and legend with personal identity.",2026,1
IT09,4,,"ha·pa (hä′pä) adj. 1. Slang, of mixed racial heritage with partial roots in Asian and/or Pacific Islander ancestry. n. 2. Slang, a person of such heritage. (der./Hawaiian: hapa haole, (half white))

Of Cantonese, English, Irish, and Welsh descent, Kip Fulbeck addresses the transforming hapa experience through autobiographical tales, his bitterly funny stories exposing sources of racism, sexism, and symbolic domination within suburban America.

Fulbeck’s rhythmic monologues, anecdotes, and snapshot imagery take the viewer through childhood fights and adult dilemmas, and question ethnic dating patterns and media depictions of Asian men, all the while documenting a family life richly colored by the Chinese language and culture of his mother’s family and the vernacular language and culture of Southern California. The stories move between the hilarious and tragic, shifting tenses and styles as his language shifts between broken Cantonese, pidgin English, academese, and SoCal speak.

Combining live readings, slide projections, text, and sound, the work avoids traditional artistic classification, moving between and forcing the reassessment of conventional boundaries (photography, video, writing, performance, etc.). In work that is often placed under the amorphous new genres umbrella, Fulbeck exposes the limitations of contemporary artistic categorization as well as ethnicity classification. Beginning with the question What do you check on the ethnicity box? he attacks the prevalent attitudes about where hapas “fit in” in a country which often ignores multi-raciality.

“Fulbeck’s art work moves incisively in and around the complex dynamics of being an Asian American. This is at once a typically American issue considering the diverse makeup of the population; and it is also an individual, sometimes painfully isolating, experience.”",1993,1
IT10,4,,"""War Baby / Love Child examines hybrid Asian American identity through a collection of essays, artworks, and interviews at the intersection of critical mixed race studies and contemporary art. The book pairs artwork and interviews with 19 emerging, mid-career, and established mixed race/mixed heritage Asian American artists, including Li-lan and Kip Fulbeck, with scholarly essays exploring such topics as Vietnamese Amerasians, Korean transracial adoptions, and multiethnic Hawai'i. As an increasingly ethnically ambiguous Asian American generation is coming of age in an era of ""optional identity,"" this collection brings together first-person perspectives and a wider scholarly context to shed light on changing Asian American cultures.Laura Kina is associate professor of art, media, and design at DePaul University. Wei Ming Dariotis is associate professor of Asian American studies at San Francisco State University.""War Baby / Love Child is an interesting, original, and innovative project that expands the field of Asian American studies by using visual art as a point of entry and analysis for the discipline."" -Mark Johnson, editor of Asian American Art: A History, 1850-1970 ""One of the strengths of this original volume is its holistic combination of interviews with premier fine artists along with the textual, historical, and scholarly context provided by established and emerging scholars in Asian American Studies."" -Nitasha Sharma, author of Hip Hop Desis: South Americans, Blackness, and Global Race Consciousness""-- Provided by publisher.",2013,
IT11,5,,"Ruth Asawa, artist, activist, and educator.

Born on a farm in Southern California, Asawa began her arts education when she was a teenager and she and her family were among the thousands of persons of Japanese descent who were forcibly incarcerated by the US government during World War II. It was at the internment camp that Asawa began taking classes in painting and drawing. After her release, Asawa studied to be a teacher but was unable to get a license because of her Japanese heritage, so she enrolled at Black Mountain College, an experimental art school in North Carolina. Asawa took classes from and worked alongside fellow artists Josef Albers, Robert Rauschenberg, Merce Cunningham, and R. Buckminster Fuller. Black Mountain was also where she met her husband, the architect Albert Lanier.

Asawa created Untitled (BMC.145, BMC Laundry Stamp) (c. 1948–49) while she was in charge of the student-run laundry facility. Moving in a pattern of rows and columns, she applied an inked laundry stamp with the college’s initials to a large portion of a bedsheet.

During her years at Black Mountain College, Asawa traveled to Mexico with Albers and his wife, Anni Albers, a fiber artist also on the faculty at the College. It was in a village outside Mexico City that Asawa learned to weave with wire. After settling permanently in San Francisco in the early 1950s, Asawa used this technique to create floating sculptures by looping wire with a dowel. Untitled (c. 1955) is an example of how Asawa’s innovative process created a new type of sculptural form, one which produced three-dimensional volume without interior mass. Moreover, this work, like her other wire sculptures, is installed hanging from the ceiling, giving it a greater sense of movement. She likened the weaving process to drawing in space.


Throughout her career, Asawa continued to experiment in different media. With its overlapping loops and circles, her print Desert Flower (1965) suggests a bird's eye view of one of her transparent wire sculptures. It is one of 54 lithographs that Asawa made in 1964 and 1965 at Tamarind Lithography Workshop, which was instrumental in bringing about a renaissance of printmaking in the US. In Aiko (1965), another work from this series, Asawa captures the likeness of one of her six children, creating a monochromatic profile of her daughter.

During her many years working in San Francisco, Asawa created and installed several large scale sculptures in public spaces. She also worked tirelessly as an advocate for art education in the city’s public schools. In all her endeavors, Asawa maintained a commitment to creativity and innovation. ",2026,0
IT12,5,biography,"As the child of Japanese immigrants living in California, Ruth Asawa was placed in an internment camp for several years during World War II. Because of lingering discrimination after the war and bleak job prospects, Asawa abandoned her pursuit of a teaching degree and in 1946 she enrolled instead at the experimental, nonaccredited Black Mountain College in North Carolina. She planned to study painting and drawing with the influential artist Josef Albers, but the institution’s cross-disciplinary emphasis soon led her to sculpture. This nascent interest flourished after a summer in Toluca, Mexico, where she learned from the local craftspeople how to make the crocheted wire baskets she had admired. The crochet technique requires looping wire around a wooden dowel to produce what the artist described as “a string of e’s.” By repeating this one motion—with adjustments made for the weight of the material or the space between loops—Asawa created undulating, voluminous forms. 

Number 1 – 1955 (which the artist had to re-create in 1958 because of faulty metal in the original), like many of Asawa’s abstract wire sculptures, is comprised of an outer, vertical structure, inside of which she nestled smaller shapes, often of a differing metal. Suspended from the ceiling, the biomorphic, semitransparent structure creates a multidimensional play of interior and exterior spaces and a constellation of shadows on the wall. ",2026,1
IT13,5,wikidata_id,"Ruth Aiko Asawa (Japanese: 浅和 愛子, January 24, 1926 – August 5, 2013) was an American modernist artist known primarily for her abstract looped-wire sculptures inspired by natural and organic forms. In addition to her three-dimensional work, Asawa created an extensive body of works on paper, including abstract and figurative drawings and prints influenced by nature, particularly flowers and plants, and her immediate surroundings.

Born in Norwalk, California in 1926, Asawa was the fourth of seven children born to Japanese immigrants. She grew up on a truck farm. In 1942, her family was separated when they were sent to different Japanese internment camps as a result of isolation policies for Japanese-Americans mandated by the U.S. government during World War II. At Rohwer War Relocation Center in Arkansas, Asawa learned drawing from illustrators interned at the camp. In 1943, she was able to leave the camp to attend Milwaukee State Teachers College, where she hoped to become a teacher but was unable to complete her studies because her Japanese ancestry prevented her from obtaining a teaching position in Wisconsin.

In 1946, Asawa joined the avant-garde artistic community at Black Mountain College in North Carolina, where she studied under the influential German-American Bauhaus painter and color theorist Josef Albers, as well as the American architect and designer Buckminster Fuller. At Black Mountain College, Asawa began making looped-wire sculptures inspired by basket crocheting technique she learned in 1947 during a trip to Mexico. In 1955, she held her first exhibition in New York and by the early 1960s, she had achieved commercial and critical success and became an advocate for public art according to her belief of ""art for everyone"". She was the driving force behind the creation of the San Francisco School of the Arts, which was renamed the Ruth Asawa San Francisco School of the Arts in 2010.

Her work is featured in collections at the Solomon R. Guggenheim Museum and the Whitney Museum of American Art in New York City. Fifteen of Asawa's wire sculptures are on permanent display in the tower of San Francisco's de Young Museum in Golden Gate Park, and several of her fountains are located in public places in San Francisco. In 2020, the U.S. Postal Service honored her work by producing a series of ten stamps that commemorate her well-known wire sculptures.",2026,1
IT14,6,wikidata_id,"Do Ho Suh (Korean: 서도호; Hanja: 徐道濩; born 1962) is a South Korean artist who works primarily in sculpture, installation, and drawing. Suh is well known for re-creating architectural structures and objects using fabric in what the artist describes as an ""act of memorialization."" After earning a Bachelor of Fine Arts and Master of Fine Arts from Seoul National University in Korean painting, Suh began experimenting with sculpture and installation while studying at the Rhode Island School of Design (RISD). He graduated with a Bachelor of Fine Arts in painting from RISD in 1994, and went on to Yale where he graduated with a Master of Fine Arts in sculpture in 1997. He practiced for over a decade in New York before moving to London in 2010. Suh regularly shows his work around the world, including Venice where he represented Korea at the 49th Venice Biennale in 2001. In 2017, Suh was the recipient of the Ho-Am Prize in the Arts. Suh currently lives and works in London.

Suh's work focuses on the different ways architecture mediates the experience of space. Architecture has been a key reference for the artist since the mid-1990s—even for pieces like Floor (1997–2000) that do not resemble buildings. As a result, Suh pays particular attention to the site-specificity of the work, and sensorial experience of the viewer engaging with his pieces while moving in the exhibition space. A number of his sculptures produced in the past few decades consider the possibilities for sculpture to become architecture, and vice versa. His blurring of the line between sculpture and architecture often renders architectural structures portable through material change, as exemplified by one of his most famous works Seoul Home...(1999), for which he recreated his childhood home using polyester and silk. Suh's use of fabric and paper functioning like a ""second skin"" makes it possible for his pieces to be folded up and transported. His material choices of rice paper, and fabric commonly found in hanbok also refer to traditional Korean art and architecture.",2026,1
IT15,6,artistDisplayBio,"(Korean, born Seoul, 1962)",2026,3
IT16,0,ArtistBio,"American, 1904–1988",2026,0
IT17,0,biography,"Over the course of his prolific, six-decade career, Isamu Noguchi explored nearly every available mode of art making. He produced drawings, sculptures, ceramics, and photographs, but also designed stage sets, playgrounds, furniture, and garden landscapes. In 1944 Noguchi began constructing a series of abstract sculptures comprised of flat, interlocking components. His encounter with the organic shapes (or “biomorphs”) that Surrealist artists were using to visually evoke dream states and the unconscious influenced his embrace of these curved, subtly anthropomorphic forms.

Noguchi developed a step-by- step process that involved drawing, model making, collage, and enlargement to create his sculptures. Work Sheets for Sculpture demonstrates a preliminary stage of this process. Noguchi first sketched shapes suggestive of bones and boomerangs on black paper, cut them out, and then arranged them into small models. This technique allowed the artist to test the configurations’ stability and make any adjustments prior to executing the final structures. He then mounted the excised graph paper, which he used to calculate the measurements required for enlarging and transferring elements, onto slabs of slate, marble, or wood. For Humpty Dumpty, Noguchi selected ribbon slate and combined the five interlocking units into an upright, freestanding sculpture. Instead of affixing the pieces with adhesive, dowels, or pins, he manipulated properties of balance and gravity. While one segment hangs, another offers crucial support. The result suggests a state of precariousness; removing even one element risks inciting collapse. The work’s title underscores the sculpture’s fragility: it invokes the familiar children’s nursery rhyme of the same name, in which “all the king’s horses and all the king’s men / couldn’t put Humpty together again.” Noguchi’s interpenetrating sculptures—made in the years during and following World War II—offer a potent reminder of humanity’s delicate interconnectedness.",2026,0
IT18,0,wikidata_id,"Isamu Noguchi (野口 勇, Noguchi Isamu; Japanese: [noꜜgɯtɕi isamɯ], English: ; November 17, 1904 – December 30, 1988) was an American artist, furniture designer and landscape architect whose career spanned six decades from the 1920s. Known for his sculpture and public artworks, Noguchi also designed stage sets for various Martha Graham productions, Akari light sculptures, and furniture pieces, many of which are still manufactured and sold. His work is displayed at the Isamu Noguchi Foundation and Garden Museum in New York City as well as many other museums.",2026,0